Acceptor Excitation 560 nm,0,1.25,2.5,3.75,5,6.25,7.5,10,12.5,15,20,25,30,35,40,50
570,4.60999,4.59167,4.55536,4.54041,4.57703,4.51324,4.50226,4.49036,4.47296,4.3454,4.47479,4.42841,4.40521,4.4104,4.38995,3.83026
571,4.74701,4.74335,4.69513,4.66583,4.68689,4.62738,4.60083,4.61548,4.59839,4.60114,4.60175,4.55811,4.53186,4.52423,4.53339,4.4986
572,4.8819,4.82239,4.81232,4.78149,4.74823,4.74152,4.69604,4.69574,4.67926,4.66766,4.69666,4.64966,4.61823,4.61853,4.60724,4.62097
573,4.96216,4.97467,4.92706,4.87244,4.87366,4.84924,4.82849,4.8053,4.80469,4.7995,4.78668,4.74548,4.72961,4.72443,4.72931,4.70917
574,5.02197,5.03021,5.00671,4.94141,4.96826,4.91669,4.89288,4.86847,4.87579,4.88708,4.84589,4.84528,4.8053,4.81018,4.78485,4.76685
575,5.14099,5.11017,5.10895,5.02655,5.0235,5.01007,4.96887,4.96826,4.9469,4.96246,4.953,4.91821,4.90479,4.89166,4.8584,4.8526
576,5.19562,5.14801,5.13184,5.08087,5.06683,5.03754,5.00153,5.0061,4.99084,4.98047,4.98077,4.94629,4.92126,4.92737,4.91211,4.89166
577,5.22888,5.21362,5.16968,5.12146,5.10071,5.09521,5.06012,5.05859,5.0647,5.03387,5.03113,4.98932,4.96765,4.98627,4.95605,4.91943
578,5.22644,5.1947,5.16449,5.112,5.08789,5.09766,5.02045,5.04211,5.04883,5.06042,5.0238,4.97192,4.95697,4.9527,4.92889,4.91791
579,5.22522,5.2298,5.18768,5.12939,5.10468,5.07813,5.04089,5.04913,5.04303,5.07721,5.02838,5.01221,4.99084,4.96765,4.95392,4.92981
580,5.17792,5.15808,5.14984,5.09369,5.06592,5.0351,5.01221,5.01312,4.99969,5.00549,4.9588,4.95636,4.92157,4.9292,4.92218,4.91516
581,5.15656,5.13885,5.10986,5.04486,5.04852,5.00092,4.98322,4.99695,4.98108,4.95728,4.94751,4.93347,4.92126,4.87915,4.88098,4.8587
582,5.07629,5.03937,5.02289,4.97345,4.92371,4.93988,4.89197,4.91943,4.87946,4.8642,4.84528,4.82819,4.81964,4.80957,4.79767,4.7934
583,5.0177,5.00427,4.94415,4.89197,4.85626,4.88281,4.83032,4.83551,4.8111,4.84436,4.7879,4.76959,4.76044,4.76624,4.76959,4.72473
584,4.88953,4.8819,4.83582,4.78668,4.75281,4.74792,4.70612,4.71497,4.71008,4.69086,4.68597,4.67712,4.6402,4.63318,4.61731,4.599
585,4.81049,4.76959,4.77417,4.70428,4.66736,4.64508,4.61823,4.6283,4.62769,4.60846,4.5816,4.58405,4.57397,4.57733,4.53583,4.50867
586,4.64752,4.65271,4.60052,4.55872,4.51965,4.52026,4.49554,4.50897,4.4873,4.46381,4.4516,4.4519,4.42932,4.40643,4.39758,4.36554
587,4.57031,4.52942,4.51935,4.46289,4.40765,4.43512,4.3924,4.39941,4.37683,4.38019,4.36096,4.35211,4.32983,4.31824,4.32251,4.263
588,4.39484,4.37164,4.35547,4.29199,4.28467,4.27368,4.23065,4.23157,4.25079,4.21539,4.21265,4.18152,4.18976,4.15985,4.16107,4.14154
589,4.27155,4.26239,4.21936,4.17938,4.16321,4.14337,4.13086,4.10492,4.08966,4.08966,4.07837,4.0625,4.06464,4.0451,4.0097,4.0094
590,4.12689,4.0976,4.06403,4.00757,3.97949,3.99231,3.97522,3.96667,3.94135,3.9444,3.93494,3.92029,3.92059,3.90991,3.86597,3.82233
591,3.97736,3.95813,3.95874,3.8913,3.8736,3.84674,3.83972,3.82721,3.83514,3.80463,3.78784,3.79395,3.7735,3.76282,3.75183,3.73199
592,3.81287,3.79364,3.7796,3.71185,3.69659,3.6972,3.69781,3.65631,3.62366,3.63312,3.64777,3.60779,3.62457,3.61633,3.58093,3.55286
593,3.6795,3.68011,3.64471,3.60016,3.55255,3.54584,3.5495,3.53302,3.53241,3.49701,3.51776,3.49091,3.48083,3.46069,3.4671,3.42651
594,3.5141,3.4903,3.46588,3.42163,3.3905,3.38928,3.3963,3.37891,3.36395,3.34412,3.35266,3.31482,3.31543,3.33862,3.31299,3.25226
595,3.36761,3.367,3.33557,3.29468,3.25439,3.28247,3.24707,3.26782,3.23578,3.21594,3.23761,3.2196,3.21014,3.19122,3.18695,3.15033
596,3.21014,3.2193,3.18451,3.13873,3.1076,3.10822,3.09631,3.06671,3.06702,3.06488,3.07281,3.04718,3.02887,3.03986,3.02032,2.99347
597,3.0722,3.06427,3.05206,3.00934,3.00079,2.98431,2.97913,2.9599,2.94678,2.93823,2.93945,2.92542,2.90802,2.92175,2.9184,2.88086
598,2.92023,2.9245,2.89551,2.85645,2.84088,2.84882,2.82593,2.81281,2.82471,2.79633,2.79053,2.78625,2.76337,2.7771,2.76093,2.73254
599,2.79938,2.78931,2.78046,2.76703,2.7124,2.7182,2.7005,2.6944,2.69012,2.68402,2.67853,2.66602,2.65594,2.65503,2.66388,2.62604
600,2.6474,2.64954,2.63184,2.61963,2.57904,2.56927,2.55615,2.54913,2.55371,2.55005,2.54242,2.52625,2.5293,2.50397,2.49481,2.5
