Donor Excitation 490nm,0,1.25,2.5,3.75,5,6.25,7.5,10,12.5,15,20,25,35,40,45,50
543,1.0257,0.975647,0.93689,0.841675,0.779114,0.750427,0.73822,0.715027,0.716553,0.704651,0.690308,0.693054,0.679626,0.67749,0.675354,0.656738
544,0.997009,0.954895,0.924377,0.829773,0.765381,0.726318,0.720825,0.704956,0.705261,0.697632,0.693665,0.691223,0.680237,0.676575,0.661926,0.659485
545,0.987549,0.944519,0.903015,0.827637,0.7724,0.734253,0.736084,0.709229,0.701904,0.696411,0.691223,0.690613,0.674744,0.666199,0.673828,0.663757
546,0.964661,0.926514,0.898438,0.814209,0.756531,0.735168,0.721436,0.711365,0.710754,0.69519,0.698547,0.694885,0.671387,0.675049,0.66864,0.6604
547,0.976563,0.939636,0.899353,0.820618,0.773621,0.744019,0.737305,0.721436,0.71228,0.711975,0.704346,0.688477,0.68573,0.687561,0.679016,0.669861
548,0.971069,0.930481,0.891724,0.821838,0.776978,0.754395,0.739746,0.727844,0.722046,0.722351,0.708923,0.708618,0.687866,0.69458,0.684509,0.675964
549,0.966492,0.943298,0.910645,0.831604,0.788879,0.769958,0.762329,0.737915,0.744934,0.741882,0.735474,0.72937,0.715637,0.717773,0.708923,0.706482
550,0.985107,0.94635,0.914307,0.854797,0.805054,0.790405,0.778198,0.774231,0.763855,0.761108,0.766907,0.747986,0.736694,0.729675,0.725403,0.723572
551,0.999146,0.968933,0.943298,0.881653,0.84259,0.822144,0.810547,0.802002,0.787048,0.793152,0.787964,0.773926,0.776062,0.768127,0.759583,0.753174
552,1.00433,0.98877,0.970459,0.900879,0.868225,0.844116,0.838623,0.822144,0.828857,0.823364,0.818481,0.825806,0.803223,0.802307,0.786743,0.793457
553,1.04004,1.02081,0.998535,0.942688,0.91217,0.900574,0.882874,0.876465,0.864258,0.867615,0.863647,0.858154,0.855408,0.834961,0.828857,0.828857
554,1.06934,1.05133,1.03271,0.975342,0.957642,0.940247,0.932312,0.913086,0.917969,0.917053,0.910034,0.899963,0.895996,0.883179,0.883484,0.885315
555,1.10748,1.09589,1.07788,1.0318,1.00922,0.982971,0.974426,0.973511,0.969849,0.969849,0.964355,0.956726,0.94635,0.939636,0.939026,0.928345
556,1.1557,1.13037,1.1203,1.08154,1.0672,1.04248,1.03546,1.03333,1.026,1.02051,1.0141,1.01379,1.00586,0.99762,0.994568,0.995178
557,1.21948,1.1969,1.17676,1.15021,1.12885,1.11389,1.10657,1.10107,1.10352,1.09283,1.08704,1.08002,1.06781,1.07147,1.05957,1.05499
558,1.26587,1.24847,1.22803,1.21399,1.18317,1.19049,1.17889,1.17432,1.16608,1.16974,1.16089,1.15479,1.13678,1.13861,1.1438,1.13159
559,1.32294,1.315,1.30768,1.29242,1.27197,1.27289,1.26343,1.26678,1.24512,1.24298,1.23138,1.22986,1.22711,1.22253,1.21918,1.20819
560,1.38763,1.38245,1.37543,1.36871,1.3504,1.34918,1.34613,1.32446,1.32538,1.32782,1.33423,1.32355,1.30676,1.30096,1.31134,1.29669
561,1.46606,1.45569,1.44409,1.44806,1.43524,1.44196,1.43372,1.42365,1.42792,1.41693,1.41998,1.41296,1.39801,1.38672,1.3855,1.38031
562,1.53717,1.53137,1.52008,1.5274,1.52344,1.53687,1.52496,1.51337,1.50574,1.50726,1.51459,1.50879,1.48621,1.4917,1.48682,1.46759
563,1.59729,1.604,1.61407,1.60614,1.61957,1.62201,1.61041,1.60034,1.5979,1.61041,1.58447,1.59729,1.58966,1.57623,1.57349,1.55975
564,1.68396,1.68823,1.69189,1.70685,1.70197,1.69769,1.70013,1.69678,1.68304,1.6922,1.68427,1.68854,1.68121,1.67084,1.66779,1.65588
565,1.75232,1.75842,1.7804,1.78711,1.80145,1.7984,1.78833,1.82281,1.79901,1.81366,1.78894,1.77826,1.78131,1.77185,1.74927,1.73981
566,1.82709,1.83838,1.84296,1.88568,1.88629,1.88873,1.89453,1.89606,1.87347,1.88782,1.88202,1.87805,1.86371,1.85089,1.85364,1.84967
567,1.90369,1.91223,1.94275,1.96167,1.96777,1.98303,1.99219,1.97296,1.96625,1.98517,1.96259,1.9577,1.95587,1.94519,1.94275,1.94244
568,1.97662,1.97296,2.00256,2.03125,2.06512,2.05627,2.07397,2.0517,2.06451,2.06238,2.04834,2.05566,2.03308,2.02606,2.03369,2.01477
569,2.04895,2.04926,2.06726,2.12982,2.14386,2.15179,2.15149,2.14203,2.14417,2.14325,2.15027,2.15118,2.10663,2.11792,2.10999,2.11426
570,2.09747,2.11761,2.11731,2.18201,2.20856,2.22046,2.20428,2.21161,2.21466,2.20398,2.22168,2.21893,2.1933,2.18658,2.1936,2.18994
571,2.16614,2.18292,2.19696,2.2522,2.28485,2.28333,2.31628,2.28882,2.29919,2.27753,2.2876,2.27844,2.24915,2.26013,2.24976,2.24365
572,2.19971,2.21466,2.26013,2.31049,2.32422,2.34009,2.35626,2.34741,2.33551,2.33917,2.35443,2.34589,2.32513,2.30072,2.31873,2.30164
573,2.25952,2.27173,2.29828,2.35626,2.39594,2.39441,2.42432,2.40479,2.39929,2.40356,2.3822,2.39258,2.38708,2.36237,2.3703,2.36542
574,2.29248,2.29675,2.34528,2.39899,2.43561,2.44293,2.43744,2.44263,2.44415,2.43927,2.42401,2.4408,2.41486,2.3999,2.40479,2.40601
575,2.2998,2.33978,2.37488,2.41699,2.46124,2.47406,2.49847,2.49207,2.46368,2.4881,2.47131,2.46613,2.46643,2.43347,2.44049,2.44232
576,2.31537,2.35352,2.3877,2.44904,2.47009,2.49939,2.50885,2.50397,2.51678,2.49908,2.49725,2.50793,2.48016,2.47375,2.46429,2.46887
577,2.33582,2.36755,2.40753,2.47131,2.50366,2.50702,2.52319,2.52686,2.52808,2.51923,2.52716,2.50916,2.50031,2.49817,2.4707,2.48444
578,2.33276,2.35199,2.3999,2.46124,2.49817,2.5061,2.52563,2.52258,2.5174,2.51923,2.51434,2.50946,2.49878,2.48993,2.48566,2.47437
579,2.34619,2.36053,2.39014,2.46063,2.49146,2.50763,2.53387,2.51526,2.52899,2.52136,2.5235,2.52869,2.50885,2.48383,2.49359,2.48657
580,2.30225,2.34039,2.36603,2.43042,2.47833,2.4942,2.51007,2.50977,2.49359,2.48627,2.50153,2.49603,2.47192,2.47528,2.46216,2.46765
581,2.28149,2.32971,2.33856,2.42859,2.46826,2.4649,2.49817,2.47772,2.49207,2.47803,2.48627,2.48444,2.45483,2.45483,2.47162,2.44781
582,2.26288,2.27661,2.30225,2.39319,2.43164,2.43927,2.45941,2.46094,2.44232,2.44904,2.44934,2.44843,2.41669,2.41669,2.41089,2.40631
583,2.23816,2.26013,2.29309,2.35626,2.38861,2.40997,2.42889,2.41943,2.40265,2.39349,2.40295,2.41089,2.39838,2.37518,2.38556,2.39014
584,2.17499,2.19971,2.21954,2.31537,2.33276,2.35016,2.36115,2.36084,2.3587,2.34833,2.35687,2.35352,2.34283,2.31323,2.33307,2.31873
585,2.12616,2.16278,2.17682,2.24182,2.29309,2.30682,2.30438,2.32086,2.31232,2.30499,2.31506,2.31476,2.28394,2.27386,2.27997,2.27783
586,2.07184,2.10358,2.11365,2.18964,2.22656,2.22809,2.25861,2.25769,2.25098,2.23236,2.23663,2.2226,2.21405,2.22565,2.21832,2.1991
587,2.01294,2.05505,2.07153,2.12677,2.17285,2.18414,2.18842,2.18231,2.19269,2.19208,2.19269,2.17163,2.17712,2.15881,2.15302,2.14844
588,1.93665,1.96625,1.99371,2.06818,2.09229,2.09503,2.10876,2.11426,2.10449,2.11761,2.10358,2.10022,2.08466,2.07001,2.08282,2.07672
589,1.88507,1.90033,1.93542,1.99615,2.0224,2.03857,2.04712,2.05505,2.03369,2.03735,2.04071,2.04376,2.01904,2.01721,2.02179,2.00287
590,1.81152,1.81946,1.85333,1.91589,1.94122,1.95526,1.97083,1.96442,1.96564,1.97021,1.9632,1.95862,1.93176,1.93146,1.93909,1.92139
591,1.74347,1.76971,1.78589,1.84082,1.87744,1.87683,1.90948,1.89362,1.90247,1.8988,1.88324,1.9046,1.87134,1.87775,1.8689,1.87653
592,1.66718,1.69495,1.70502,1.76758,1.78497,1.79657,1.8103,1.82281,1.81946,1.81,1.80817,1.81,1.79291,1.77673,1.7868,1.78009
593,1.5979,1.61987,1.63757,1.69586,1.72821,1.73126,1.73676,1.75018,1.75171,1.73187,1.74988,1.74316,1.73004,1.71814,1.73889,1.69342
594,1.52191,1.54266,1.56128,1.60919,1.63208,1.63116,1.65741,1.65466,1.65833,1.64642,1.65405,1.64429,1.63391,1.63391,1.63513,1.61194
595,1.45905,1.47339,1.51031,1.54175,1.56647,1.57928,1.60492,1.5979,1.6037,1.60278,1.59363,1.57928,1.56952,1.57227,1.58325,1.56738
596,1.37848,1.40442,1.43585,1.47705,1.48224,1.49567,1.50269,1.51428,1.51184,1.50787,1.50024,1.49628,1.49414,1.47552,1.47705,1.48132
597,1.32721,1.35559,1.36322,1.41052,1.43311,1.45172,1.44928,1.44104,1.44165,1.45569,1.44745,1.43951,1.4325,1.41937,1.4267,1.43433
598,1.26404,1.27747,1.29456,1.34338,1.36627,1.3678,1.3916,1.37939,1.3797,1.37299,1.37146,1.36627,1.35559,1.3562,1.34735,1.35681
599,1.21338,1.23779,1.2439,1.27136,1.3028,1.32416,1.32202,1.32721,1.31683,1.31653,1.31866,1.30554,1.3031,1.29333,1.30005,1.29059
600,1.14716,1.16608,1.1731,1.203,1.23596,1.25366,1.25732,1.25244,1.24908,1.23871,1.24786,1.25061,1.23657,1.23444,1.22803,1.23779
